transaction_id,user_id,timestamp,hour,is_weekend,merchant_category,transaction_amount,balance_after,monthly_salary,impulse_label
45f4bbc0-bea4-4bc3-a394-126f6e50b6f9,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-03 10:00:00,10,0,Utilities,1571.09,33271.91,34843,0
b05d745c-a6a7-4285-ae09-5128323145dd,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-03 15:00:00,15,0,Utilities,1875.49,28867.43,34843,0
de510003-5922-427c-9b10-6915c02bd252,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-03 20:00:00,20,0,Electronics,2528.99,30742.91,34843,1
124b806f-f3f8-41ee-9f40-1fca358843f0,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-04 17:00:00,17,1,Utilities,1555.12,27312.31,34843,0
43f5173b-9b19-4acb-bad6-bb3725b0cc87,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-05 15:00:00,15,1,Entertainment,1365.33,25946.98,34843,0
8ae6f605-04a7-4616-bd57-04affa9b331f,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-07 15:00:00,15,0,Electronics,3079.84,22867.14,34843,1
d56b415b-9ffc-4df6-9ae2-7062af0ead30,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-11 05:00:00,5,1,Groceries,2085.56,20781.58,34843,0
27e7a204-726a-4a15-978a-2d80a6ee0a4b,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-11 14:00:00,14,1,Travel,3418.31,17363.28,34843,1
ebe81867-ce98-48c8-b9df-1b18a3f73cdf,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-12 21:00:00,21,1,Travel,1320.52,16042.76,34843,0
3530e0eb-c8f4-4227-841d-9e7d249c2b97,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-13 16:00:00,16,0,Utilities,973.43,15069.32,34843,0
3c472643-309f-4ab8-b76e-bcf7e21f118c,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-14 01:00:00,1,0,Travel,1031.39,14037.93,34843,0
1915ae5d-0c19-4ef9-9aeb-ff6b31ea387f,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-14 22:00:00,22,0,Electronics,5168.29,8869.64,34843,1
e964590e-c913-426d-bc4e-8bb5f767a246,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-15 00:00:00,0,0,Entertainment,956.75,5873.13,34843,0
edeb116c-894e-4127-8889-1f539665ef5b,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-15 10:00:00,10,0,Travel,505.84,8363.8,34843,0
99802714-3c49-421e-bab7-3c63eea0b14f,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-15 17:00:00,17,0,Luxury,1533.92,6829.88,34843,0
1c1dc8ca-ee43-4e6f-bed3-09a4c137e9dd,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-16 01:00:00,1,0,Fashion,1317.99,4555.14,34843,0
f79a5305-488b-46f3-95f7-9b8296c1176a,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-16 14:00:00,14,0,Groceries,1496.01,2003.24,34843,0
1e8d9f91-f19f-4b93-acf7-cc831a00de71,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-16 18:00:00,18,0,Entertainment,1055.89,3499.25,34843,0
5c1ec54f-e0a7-47d7-b5d7-a8366d8e77dd,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-18 20:00:00,20,1,Utilities,1859.12,144.12,34843,0
afa01550-4fd0-43dd-a1d4-45f5f4328bc8,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-19 01:00:00,1,1,Electronics,3975.65,-3831.53,34843,1
ef121bdf-0741-4542-a6c2-858ee5572ebf,00559a57-f3e8-4b0a-a3f6-9726e66f6940,2025-01-23 21:00:00,21,0,Entertainment,578.68,-4410.21,34843,0
